,chembl_id,entity_id,pref_name,canonical_smiles,indication_name
10,CHEMBL1008,112651,BEPRIDIL,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,A list of medical conditions: cardiovascular disease
11,CHEMBL1009,112655,LEVODOPA,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,"A list of medical conditions: age-related macular degeneration, albinism, amblyopia, amyotrophic lateral sclerosis, Angelman syndrome, Aphasia, asthma, autism spectrum disorder, Back pain, brain injury, Chronic pain, cocaine dependence, diabetic retinopathy, nicotine dependence, oculocutaneous albinism, orthostatic hypotension"
12,CHEMBL101,12417,PHENYLBUTAZONE,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,"A list of medical conditions: Arthralgia, Myalgia, rheumatic disease"
13,CHEMBL1010,112665,CEFOTAXIME SODIUM,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+],"A list of medical conditions: gonorrhea, infection, osteomyelitis, pneumonia"
14,CHEMBL101253,165012,VATALANIB,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,"A list of medical conditions: acute myeloid leukemia, age-related macular degeneration, breast cancer, breast neoplasm, cancer, Central Nervous System Neoplasm, cervical cancer, chronic myelogenous leukemia, colonic neoplasm, cutaneous melanoma, diffuse large B-cell lymphoma, endometrial cancer, fallopian tube cancer, glioblastoma multiforme, kidney cancer, melanoma"
15,CHEMBL1014,116349,CANDESARTAN CILEXETIL,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,"A list of medical conditions: angina pectoris, atherosclerosis, breast cancer, cardiovascular disease, congestive heart failure, coronary artery disease, COVID-19, diabetes mellitus, essential hypertension, heart failure, Hypercholesterolemia, hypertension, myocardial infarction, pain, Proteinuria, renal artery obstruction"
16,CHEMBL1016,116848,CANDESARTAN,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,"A list of medical conditions: alcoholic liver disease, aortic stenosis, atrial fibrillation, Barrett's esophagus, bipolar disorder, cardiovascular disease, cocaine dependence, Cognitive impairment, congestive heart failure, COVID-19, dilated cardiomyopathy, essential hypertension, heart disease, heart failure, hepatitis C virus infection, hypertension"
17,CHEMBL1017,116949,TELMISARTAN,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,"A list of medical conditions: albuminuria, Alzheimer disease, cardiovascular disease, chronic kidney disease, COVID-19, diabetes mellitus, diabetic nephropathy, Disorder of lipid metabolism, essential hypertension, heart disease, HIV-1 infection, HIV infection, hypertension, myocardial infarction, neuropathic pain, obstructive sleep apnea"
18,CHEMBL10188,6760,TALNETANT,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,"A list of medical conditions: irritable bowel syndrome, schizophrenia"
19,CHEMBL1020,118617,TOLMETIN,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,"A list of medical conditions: Arthralgia, Myalgia, rheumatic disease"
20,CHEMBL1021,119162,NEPAFENAC,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,"A list of medical conditions: cataract, eye inflammation, inflammation, macular retinal edema, Miosis"
21,CHEMBL1023,119498,BEXAROTENE,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,"A list of medical conditions: acute myeloid leukemia, alopecia areata, Alzheimer disease, anaplastic large cell lymphoma, breast cancer, breast carcinoma, breast ductal carcinoma in situ, Cutaneous T-cell lymphoma, leukemia, lung cancer, lymphoma, multiple myeloma, mycosis fungoides, myelodysplastic/myeloproliferative disease, myelodysplastic syndrome, neoplasm"
22,CHEMBL102358,171866,IDROCILAMIDE,O=C(/C=C/c1ccccc1)NCCO,"A list of medical conditions: Arthralgia, Myalgia"
23,CHEMBL1024,119640,IFOSFAMIDE,O=P1(NCCCl)OCCCN1CCCl,"A list of medical conditions: acute lymphoblastic leukemia, acute myeloid leukemia, adrenal gland pheochromocytoma, alveolar rhabdomyosarcoma, alveolar soft part sarcoma, anaplastic large cell lymphoma, angiosarcoma, breast cancer, Burkitts lymphoma, cancer, carcinoma, central nervous system cancer, Central Nervous System Neoplasm, cervical cancer, childhood acute lymphoblastic leukemia, childhood germ cell tumor"
24,CHEMBL1025,119717,ISOFLUROPHATE,CC(C)OP(=O)(F)OC(C)C,A list of medical conditions: glaucoma
25,CHEMBL1026,121124,FENOLDOPAM MESYLATE,CS(=O)(=O)O.Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,"A list of medical conditions: Acute kidney injury, hypertension"
26,CHEMBL1027,122170,TIAGABINE,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,"A list of medical conditions: alcohol dependence, anxiety, cocaine dependence, epilepsy, obstructive sleep apnea, schizophrenia"
27,CHEMBL1029,122901,MIGLUSTAT,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,"A list of medical conditions: cystic fibrosis, Gaucher disease, Gaucher disease type 1, glycogen storage disease, Glycogen storage disease due to acid maltase deficiency, GM2 gangliosidosis, hereditary spastic paraplegia, HIV infection, juvenile neuronal ceroid lipofuscinosis, Niemann-Pick disease type C, Sandhoff disease"
28,CHEMBL103,12825,PROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,"A list of medical conditions: Alzheimer disease, amenorrhea, anorexia nervosa, brain injury, breast cancer, breast neoplasm, bulimia nervosa, cannabis dependence, cervical intraepithelial neoplasia, cocaine dependence, coronary artery disease, COVID-19, diabetes mellitus, endometrial cancer, endometrial hyperplasia, epilepsy"
29,CHEMBL10316,6784,IDAZOXAN,c1ccc2c(c1)OCC(C1=NCCN1)O2,"A list of medical conditions: Alzheimer disease, major depressive disorder"
30,CHEMBL1034,123693,DICLOFENAC SODIUM,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],"A list of medical conditions: actinic keratosis, anemia (phenotype), Chronic pain, gout, hemorrhage, inflammation, Low back pain, muscular disease, osteoarthritis, osteoarthritis, knee, otitis externa, pain, radiculopathy, rheumatoid arthritis, sprain, sunburn"
31,CHEMBL103667,167995,DORAMAPIMOD,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,"A list of medical conditions: psoriasis, rheumatoid arthritis"
32,CHEMBL103735,164661,ATIPRIMOD,CCCC1(CCC)CCC2(CCN(CCCN(CC)CC)C2)CC1,"A list of medical conditions: cancer, multiple myeloma, neuroendocrine carcinoma"
33,CHEMBL104,13494,CLOTRIMAZOLE,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,"A list of medical conditions: bacterial vaginosis, candidiasis, folliculitis, fungal infectious disease, HIV infection, infection, kidney disease, oral candidiasis, Pruritus, sickle cell anemia, skin infection, tinea, tinea, tinea pedis, vaginal discharge, vulvovaginal candidiasis"
34,CHEMBL1042,125294,CHOLECALCIFEROL,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,"A list of medical conditions: abnormal glucose tolerance, actinic keratosis, acute myeloid leukemia, aging, AIDS, allergic conjunctivitis, allergic disease, anemia (phenotype), asthma, atopic eczema, autism, Barrett's esophagus, bone fracture, breast cancer, breast ductal carcinoma in situ, Bronchiolitis"
35,CHEMBL1043,126356,DAPSONE,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,"A list of medical conditions: acne, COVID-19, dermatitis herpetiformis, Fever, HIV infection, leprosy, malaria, mucous membrane pemphigoid, non-small cell lung carcinoma, pemphigus vulgaris, Plasmodium falciparum malaria, Plasmodium vivax malaria, pneumocystosis, pulmonary fibrosis, rosacea, sarcoidosis"
36,CHEMBL1046,127755,AMINOCAPROIC ACID,NCCCCCC(=O)O,"A list of medical conditions: aortic disease, craniosynostosis, hemorrhage, inflammation, rosacea"
37,CHEMBL104943,172066,MONOETHANOLAMINE,NCCO,A list of medical conditions: Varicose veins
38,CHEMBL105,13590,MITOMYCIN,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,"A list of medical conditions: adenocarcinoma, anal carcinoma, anal neoplasm, anus cancer, appendix cancer, biliary tract cancer, bladder tumor, breast cancer, cancer, carcinoma, cervical cancer, cholangiocarcinoma, chronic kidney disease, colorectal carcinoma, Corneal opacity, Esophageal stenosis"
39,CHEMBL105060,171245,DNK333,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1ccc(Cl)c(Cl)c1,"A list of medical conditions: atopic eczema, chronic obstructive pulmonary disease, irritable bowel syndrome"
40,CHEMBL1051,132003,LATANOPROST,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,"A list of medical conditions: glaucoma, hypertension, Meniere disease, ocular hypertension, open-angle glaucoma, Vitiligo"
41,CHEMBL105184,167312,BIFENDATE,COC(=O)c1cc(OC)c2c(c1-c1c(C(=O)OC)cc(OC)c3c1OCO3)OCO2,A list of medical conditions: cirrhosis of liver
42,CHEMBL105318,169301,ALOVUDINE,Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,A list of medical conditions: HIV infection
43,CHEMBL1054,134100,TRICHLORMETHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,A list of medical conditions: cardiovascular disease
44,CHEMBL105442,169054,CI-1040,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,"A list of medical conditions: breast cancer, breast neoplasm, colorectal carcinoma, colorectal neoplasm, lung cancer, non-small cell lung carcinoma, pancreatic carcinoma, pancreatic neoplasm"
45,CHEMBL1055,134333,CHLORTHALIDONE,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,"A list of medical conditions: angina pectoris, atherosclerosis, cardiovascular disease, cerebrovascular disorder, chronic kidney disease, congestive heart failure, coronary artery disease, diabetes mellitus, essential hypertension, glomerulonephritis, heart disease, heart failure, Hypercholesterolemia, hypertension, myocardial infarction, Myocardial Ischemia"
46,CHEMBL1059,136161,PREGABALIN,CC(C)C[C@H](CN)CC(=O)O,"A list of medical conditions: alcohol dependence, anxiety, Bilateral tonic-clonic seizure, bone fracture, breast cancer, cannabis dependence, Chronic pain, chronic pancreatitis, complex partial epilepsy, complex regional pain syndrome, Cough, Dementia, depressive disorder, diabetes mellitus, diabetic neuropathy, dry eye syndrome"
47,CHEMBL106,13758,FLUCONAZOLE,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,"A list of medical conditions: acute myeloid leukemia, Alzheimer disease, aspergillosis, bacterial disease, bacterial vaginosis, blastomycosis, cancer, Candidemia, candidiasis, Candidiasis, Invasive, chronic obstructive pulmonary disease, coccidioidomycosis, Crohn's disease, cryptococcal meningitis, cutaneous Leishmaniasis, fungal infectious disease"
48,CHEMBL1060,136282,SODIUM PHOSPHATE,O=P([O-])([O-])O.[Na+].[Na+],"A list of medical conditions: Constipation, dry eye syndrome, Parkinson disease"
49,CHEMBL1062,138037,HYDROXYPROGESTERONE,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,A list of medical conditions: premature birth
50,CHEMBL1064,138562,SIMVASTATIN,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,"A list of medical conditions: Abnormal circulating lipid concentration, acute coronary syndrome, acute myocardial infarction, acute pancreatitis, alopecia areata, Alzheimer disease, aortic stenosis, asthma, atherosclerosis, atrial fibrillation, bipolar disorder, breast cancer, breast carcinoma, cancer, cardiovascular disease, carotid atherosclerosis"
51,CHEMBL1067,138950,LICARBAZEPINE,NC(=O)N1c2ccccc2CC(O)c2ccccc21,"A list of medical conditions: bipolar disorder, bipolar I disorder, epilepsy"
52,CHEMBL1068,139014,OXCARBAZEPINE,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,"A list of medical conditions: aggressive behavior, Agitation, anxiety, cancer, Dementia, depressive disorder, epilepsy, multiple sclerosis, neuropathic pain, partial epilepsy, schizophrenia, Seizure"
53,CHEMBL1069,139045,VALSARTAN,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,"A list of medical conditions: acute coronary syndrome, acute myocardial infarction, Alport syndrome, aortic valve insufficiency, atherosclerosis, atrial fibrillation, cardiovascular disease, Chagas cardiomyopathy, chronic kidney disease, congestive heart failure, coronary artery disease, COVID-19, diabetes mellitus, Disorder of lipid metabolism, essential hypertension, heart failure"
54,CHEMBL107,14440,COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,"A list of medical conditions: acute coronary syndrome, amyotrophic lateral sclerosis, aphthous ulcer, asthma, atherosclerosis, atrial fibrillation, Behcet's syndrome, cardiac arrhythmia, cholangiocarcinoma, chronic hepatitis C virus infection, chronic kidney disease, cirrhosis of liver, coronary artery disease, coronavirus infectious disease, COVID-19, diabetic nephropathy"
55,CHEMBL1070,139210,NABUMETONE,COc1ccc2cc(CCC(C)=O)ccc2c1,"A list of medical conditions: osteoarthritis, rheumatic disease, rheumatoid arthritis"
56,CHEMBL1071,139225,OXAPROZIN,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,"A list of medical conditions: juvenile idiopathic arthritis, osteoarthritis, rheumatic disease, rheumatoid arthritis"
57,CHEMBL1072,139281,BUMETANIDE,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,"A list of medical conditions: autism, autism spectrum disorder, cardiovascular disease, chronic kidney disease, congestive heart failure, heart failure, hepatocellular carcinoma, hypokalemic periodic paralysis, kidney disease, nephrotic syndrome, Seizure, type 2 diabetes mellitus"
58,CHEMBL1073,139286,GLIPIZIDE,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,"A list of medical conditions: atherosclerosis, chronic kidney disease, diabetes mellitus, type 2 diabetes mellitus"
59,CHEMBL107360,176016,QUINUPRAMINE,c1ccc2c(c1)CCc1ccccc1N2C1CN2CCC1CC2,A list of medical conditions: unipolar depression
60,CHEMBL107367,173090,FARGLITAZAR,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1,A list of medical conditions: cirrhosis of liver
61,CHEMBL107400,176291,SOBETIROME,Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,"A list of medical conditions: adrenomyeloneuropathy, X-linked adrenoleukodystrophy"
62,CHEMBL107430,175008,NRX195183,CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl,A list of medical conditions: acute promyelocytic leukemia
63,CHEMBL1075,139866,MORICIZINE,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,"A list of medical conditions: atrial fibrillation, cardiac arrhythmia"
64,CHEMBL1075790,610502,PERUVOSIDE,CO[C@H]1[C@H](O)[C@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)O[C@@H](C)[C@@H]1O,A list of medical conditions: cardiovascular disease
65,CHEMBL1075834,610648,SHP-627,C#CCOc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC,A list of medical conditions: diffuse scleroderma
66,CHEMBL1076211,611591,TOLPERISONE,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,"A list of medical conditions: Arthralgia, Myalgia, Spasticity"
67,CHEMBL1076263,611788,SETROBUVIR,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3N(Cc3ccc(F)cc3)C1=O)N2,"A list of medical conditions: chronic hepatitis C virus infection, hepatitis C virus infection"
68,CHEMBL1076930,614520,INARIGIVIR SOPROXIL,CO[C@@H]1[C@H](OP(=O)(OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)C[C@@H]2O)SCOC(=O)OC(C)C)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O,A list of medical conditions: chronic hepatitis B virus infection
69,CHEMBL1077,140107,BROMFENAC,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,"A list of medical conditions: age-related macular degeneration, allergic conjunctivitis, cataract, cystoid macular edema, dry eye syndrome, eye inflammation, inflammation, presbyopia"
70,CHEMBL1077896,618203,ROPIVACAINE,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,"A list of medical conditions: Abdominal pain, appendicitis, Arthropathy, breast cancer, breast neoplasm, cancer, Chronic pain, gastric cancer, Hallux valgus, hypotension, Inguinal hernia, knee injury, leiomyoma, male reproductive organ cancer, Nausea and vomiting, osteoarthritis"
71,CHEMBL1078178,617563,MOMELOTINIB,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,"A list of medical conditions: essential thrombocythemia, myelofibrosis, non-small cell lung carcinoma, pancreatic ductal adenocarcinoma, polycythemia vera, primary myelofibrosis"
72,CHEMBL1078261,618127,PROPIVERINE,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,"A list of medical conditions: overactive bladder, Polyuria, Urinary incontinence"
73,CHEMBL1078549,617883,PAEONIFLORIN,C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@@H]3C[C@]12O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,A list of medical conditions: Autoimmune Hepatitis
74,CHEMBL1078685,617076,TOPIROXOSTAT,N#Cc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,"A list of medical conditions: diabetic nephropathy, hyperuricemia"
75,CHEMBL107874,178482,TRIDECANOATE,CCCCCCCCCCCCC(=O)O,A list of medical conditions: Rett syndrome
76,CHEMBL1079,140117,TIZANIDINE,Clc1ccc2nsnc2c1NC1=NCCN1,"A list of medical conditions: melanoma, pain, Spasticity"
77,CHEMBL1079175,616367,MK-2206,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,"A list of medical conditions: breast cancer, breast carcinoma, bronchoalveolar adenocarcinoma, cancer, chronic lymphocytic leukemia, diffuse large B-cell lymphoma, endometrial cancer, head and neck squamous cell carcinoma, hepatocellular carcinoma, large cell lung carcinoma, lung cancer, male breast carcinoma, malignant colon neoplasm, malignant glioma, melanoma, nasopharyngeal neoplasm"
78,CHEMBL1079593,611731,VS-5584,O=c1[nH]c2cnc(-n3cnc4ccc(F)cc43)nc2n1[C@@H]1CCOc2c(F)cccc21,"A list of medical conditions: lymphoma, mesothelioma"
79,CHEMBL1079742,611647,ERLOTINIB HYDROCHLORIDE,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,"A list of medical conditions: anaplastic astrocytoma, anaplastic oligodendroglioma, brain neoplasm, breast cancer, breast carcinoma, bronchoalveolar adenocarcinoma, cancer, carcinoma, Central Nervous System Neoplasm, cervical cancer, cirrhosis of liver, colorectal adenocarcinoma, colorectal carcinoma, endometrial cancer, esophageal cancer, fallopian tube cancer"
80,CHEMBL1079905,611752,PROPENTOFYLLINE,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,A list of medical conditions: attention deficit hyperactivity disorder
81,CHEMBL108,15086,CARBAMAZEPINE,NC(=O)N1c2ccccc2C=Cc2ccccc21,"A list of medical conditions: anxiety, bipolar disorder, bipolar I disorder, Chemotherapy-induced nausea and vomiting, cocaine dependence, Dementia, depressive disorder, epilepsy, hepatitis B virus infection, HIV infection, partial epilepsy, photosensitive epilepsy, schizophrenia, Seizure, trigeminal neuralgia"
82,CHEMBL1082,143284,AMOXICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,"A list of medical conditions: abscess, allergic disease, anaplastic astrocytoma, asthma, bacterial disease, bacterial pneumonia, bacterial vaginosis, bacteriemia, brain neoplasm, Buruli ulcer disease, central serous retinopathy, Chlamydia trachomatis infectious disease, Cholecystitis, chronic bronchitis, congenital syphilis, COVID-19"
83,CHEMBL1082407,630886,ENZALUTAMIDE,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,"A list of medical conditions: breast cancer, breast carcinoma, cancer, carcinoma, clear cell renal carcinoma, COVID-19, hepatocellular carcinoma, kidney disease, liver disease, Mantle cell lymphoma, metastatic prostate cancer, neoplasm, ovarian cancer, pancreatic carcinoma, prostate adenocarcinoma, prostate cancer"
84,CHEMBL1082462,632662,DBPR-108,CC(C)(CC(=O)N1CCCC1)NCC(=O)N1C[C@@H](F)C[C@H]1C#N,"A list of medical conditions: kidney disease, liver disease, type 2 diabetes mellitus"
85,CHEMBL1082508,631689,LANDIPIRDINE,NC(=O)NC[C@@H]1CCCc2cc(S(=O)(=O)c3cccc(F)c3)ccc21,A list of medical conditions: Parkinson disease
86,CHEMBL1082607,631502,SALMETEROL XINAFOATE,O=C(O)c1ccc2ccccc2c1O.OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,"A list of medical conditions: asthma, asthma, bronchiolitis obliterans, Bronchospasm, chronic bronchitis, chronic obstructive pulmonary disease, emphysema, obesity"
87,CHEMBL1082723,630274,CIPARGAMIN,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,"A list of medical conditions: malaria, Plasmodium falciparum malaria"
88,CHEMBL1083385,630396,CLOPIDOGREL BISULFATE,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O,"A list of medical conditions: acute coronary syndrome, breast neoplasm, coronary artery disease, Gastrointestinal hemorrhage, intermediate coronary syndrome, ischemia, myocardial infarction, peripheral arterial disease, stroke"
89,CHEMBL1083390,630553,INTEPIRDINE,O=S(=O)(c1ccccc1)c1cnc2c(N3CCNCC3)cccc2c1,"A list of medical conditions: Alzheimer disease, Dementia"
90,CHEMBL108358,176796,TIAZOFURIN,NC(=O)c1csc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,A list of medical conditions: neoplasm
91,CHEMBL1083659,630322,SUVOREXANT,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC[C@H]2C)c1,"A list of medical conditions: alcohol dependence, Alzheimer disease, delirium, insomnia, nicotine dependence, opioid use disorder, restless legs syndrome, sleep apnea, Sleep Disorder, smoking cessation"
92,CHEMBL1083993,630439,AMIODARONE HYDROCHLORIDE,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl,"A list of medical conditions: AL amyloidosis, atrial fibrillation, Chagas cardiomyopathy, heart failure, Ventricular arrhythmia, ventricular fibrillation, ventricular tachycardia"
93,CHEMBL1084172,631810,VILANTEROL TRIFENATATE,O=C(O)C(c1ccccc1)(c1ccccc1)c1ccccc1.OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,"A list of medical conditions: asthma, chronic bronchitis, chronic obstructive pulmonary disease, emphysema"
94,CHEMBL1084173,631811,VILANTEROL .ALPHA.-PHENYL CINNAMATE,O=C(O)/C(=C/c1ccccc1)c1ccccc1.OCc1cc([C@@H](O)CNCCCCCCOCCOCc2c(Cl)cccc2Cl)ccc1O,A list of medical conditions: chronic obstructive pulmonary disease
95,CHEMBL1084617,631950,TEMANOGREL,COc1cccc(C(=O)Nc2ccc(OCCN3CCOCC3)c(-c3ccnn3C)c2)c1,A list of medical conditions: acute coronary syndrome
96,CHEMBL1085,147927,ACETOPHENAZINE,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,A list of medical conditions: psychosis
